food_name,image
티라미수 아일랜드,https://image.istarbucks.co.kr/upload/store/skuimg/2018/02/[9300000001365]_20180208145758781.jpg
촉촉 초콜릿 생크림 케이크,https://image.istarbucks.co.kr/upload/store/skuimg/2016/02/[9300000000011]_20160212132908104.jpg
블루베리 쿠키 치즈 케이크,https://image.istarbucks.co.kr/upload/store/skuimg/2018/04/[9300000000913]_20180430162431754.jpg
세븐 레이어 가나슈 케이크,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9300000002065]_20190412135121406.jpg
청담스타 얼 그레이 밀크 케이크,https://image.istarbucks.co.kr/upload/store/skuimg/2018/04/[9300000001521]_20180419160443788.jpg
청담스타 오 허니 케이크,https://image.istarbucks.co.kr/upload/store/skuimg/2017/04/[9300000000882]_20170425213905124.jpg
크레이프 에멘탈 치즈 케이크,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9300000002064]_20190412135005999.jpg
피칸 브라우니,https://image.istarbucks.co.kr/upload/store/skuimg/2019/06/[9300000002173]_20190612150600937.jpg
헤븐리 티라미수,https://image.istarbucks.co.kr/upload/store/skuimg/2017/04/[9300000000878]_20170425213107826.jpg
치킨텐더 콥 샐러드 밀박스,https://image.istarbucks.co.kr/upload/store/skuimg/2020/03/[9300000002690]_20200311131154585.jpg
바비큐 풀드 포크 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9300000002711]_20200406140228409.jpg
파인 땡큐 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9300000002710]_20200406140132955.jpg
로스트 비프 샐러드 밀 박스,https://image.istarbucks.co.kr/upload/store/skuimg/2019/08/[9300000002303]_20190808130020446.jpg
로스트 치킨 샐러드 밀 박스,https://image.istarbucks.co.kr/upload/store/skuimg/2019/08/[9300000002305]_20190808130213150.jpg
쉬림프 코코넛 샐러드 밀 박스,https://image.istarbucks.co.kr/upload/store/skuimg/2019/08/[9300000002304]_20190808130113359.jpg
B.E.L.T. 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2017/02/[9300000000689]_20170213161442535.jpg
DT밀당 샌드위치_바질 모짜렐라,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9300000001851]_20190412134812853.jpg
DT밀당 샌드위치_베이컨 크림치즈,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9300000001850]_20190412134320895.jpg
과카몰리 크루아상 밀 박스,https://image.istarbucks.co.kr/upload/store/skuimg/2020/01/[9300000002312]_20200131145810723.jpg
단호박 에그 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2016/03/[9300000000036]_20160316095031573.jpg
멕시칸 브리또 밀 박스,https://image.istarbucks.co.kr/upload/store/skuimg/2019/02/[9300000001937]_20190211140815644.jpg
미트 파스타 샌드위치 밀 박스 ,https://image.istarbucks.co.kr/upload/store/skuimg/2019/12/[9300000002451]_20191202134604419.jpg
바비큐 치킨 치즈 치아바타,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[5110003062]_20150804225346414.jpg
베이컨 치즈 토스트,https://image.istarbucks.co.kr/upload/store/skuimg/2019/08/[9300000002178]_20190827175921115.jpg
볼케이노 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2018/04/[9300000001514]_20180425172044904.jpg
부드러운 크림치즈 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9300000002625]_20200219093852640.jpg
브로콜리 에그에그 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2019/10/[9300000002443]_20191017160151286.jpg
쉬림프 & 아보카도 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2020/03/[9300000002687]_20200303143546000.jpg
쉬림프 로제 파스타 밀 박스,https://image.istarbucks.co.kr/upload/store/skuimg/2019/08/[9300000002313]_20190820131745979.jpg
스프링 치킨 시저 랩,https://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9300000002626]_20200219094012326.jpg
어니언 베이컨 체다치즈 파니니,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[5110003082]_20150722222903515.jpg
에그 베이컨 치즈 백년초 베이글,https://image.istarbucks.co.kr/upload/store/skuimg/2018/03/[9300000001388]_20180328112810479.jpg
"에그, 베이컨 치즈 베이글",https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[5110003074]_20150804225939205.jpg
에그에그 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2019/01/[9300000001927]_20190114111036788.jpg
잉글리쉬 머핀 밀 박스,https://image.istarbucks.co.kr/upload/store/skuimg/2019/02/[9300000001935]_20190211140601699.jpg
제주 녹차 베이컨 치즈 베이글,https://image.istarbucks.co.kr/upload/store/skuimg/2018/03/[9300000001387]_20180328113327539.jpg
제주 흑돼지 아보카도 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2019/11/[9300000002490]_20191106171151281.jpg
제주 흑돼지 초리조 먹물 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2018/03/[9300000001389]_20180328113451660.jpg
크랜베리 치킨 치즈 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2017/08/[9300000001117]_20170808091700134.jpg
크로크 무슈,https://image.istarbucks.co.kr/upload/store/skuimg/2017/08/[9300000001118]_20170808091515413.jpg
포크 커틀릿 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2018/12/[9300000001652]_20181224155642926.jpg
햄 치즈 먹물 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2019/12/[9300000002536]_20191220143852765.jpg
햄&루꼴라 올리브 샌드위치,https://image.istarbucks.co.kr/upload/store/skuimg/2018/08/[9300000001777]_20180829140604582.jpg
현무암 크로크무슈,https://image.istarbucks.co.kr/upload/store/skuimg/2018/04/[9300000001516]_20180425172254006.jpg
트러플 머쉬룸 수프,https://image.istarbucks.co.kr/upload/store/skuimg/2019/12/[9900000000680]_20191202134306880.jpg
현미 크림 수프,https://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[9900000000084]_20160920155032027.jpg
우리나라 옥고감,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[5110009042]_20150731190846277.jpg
한 입에 쏙 호두,https://image.istarbucks.co.kr/upload/store/skuimg/2018/05/[9300000001368]_20180517171108453.jpg
사과 가득 핸디 젤리,https://image.istarbucks.co.kr/upload/store/skuimg/2019/11/[9300000001911]_20191104110731624.jpg
제주 자연 청 세트,https://image.istarbucks.co.kr/upload/store/skuimg/2018/08/[9300000001672]_20180813105526098.jpg
하루 한 컵 GREEN,https://image.istarbucks.co.kr/upload/store/skuimg/2018/04/[9300000001364]_20180412095213123.jpg
하루 한 컵 RED,https://image.istarbucks.co.kr/upload/store/skuimg/2016/04/[5110009051]_20160427151949047.jpg
한 입에 쏙 열대 과일칩(망고&파인애플),https://image.istarbucks.co.kr/upload/store/skuimg/2019/10/[9300000002409]_20191029164536656.jpg
한 입에 쏙 우리 과일칩(딸기&사과),https://image.istarbucks.co.kr/upload/store/skuimg/2019/10/[9300000002408]_20191029164230648.jpg
한라봉 가득 핸디 젤리,https://image.istarbucks.co.kr/upload/store/skuimg/2019/11/[9300000001912]_20191104110839986.jpg
New 밀크 푸딩,https://image.istarbucks.co.kr/upload/store/skuimg/2020/01/[9300000002619]_20200129141145991.jpg
New 초콜릿 푸딩,https://image.istarbucks.co.kr/upload/store/skuimg/2020/01/[9300000002620]_20200129141255087.jpg
스타벅스 오가닉 그릭 요거트,https://image.istarbucks.co.kr/upload/store/skuimg/2017/04/[9300000000751]_20170405155250571.jpg
오가닉 그릭 요거트 플레인 JAR,https://image.istarbucks.co.kr/upload/store/skuimg/2019/01/[9300000001855]_20190107180642417.jpg
로고 코인 다크 초콜릿 (골드),https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[5650003321]_20150723015542697.jpg
로고 코인 밀크 초콜릿 (실버),https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[5650003322]_20150723015450710.jpg
로스티드 아몬드 앤 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[5650003325]_20150723020327783.jpg
리저브 초콜릿 세트,https://image.istarbucks.co.kr/upload/store/skuimg/2018/08/[9300000001610]_20180813105145974.jpg
블루베리 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2017/06/[9300000000772]_20170605104801377.jpg
에스프레소 빈 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2017/06/[9300000000773]_20170605104945075.jpg
제주 오름 초콜릿 세트,https://image.istarbucks.co.kr/upload/store/skuimg/2018/01/[9300000001257]_20180117105425258.jpg
구워서 바삭한 코코넛 칩,https://image.istarbucks.co.kr/upload/store/skuimg/2017/07/[9300000000682]_20170720114325160.jpg
다크 초콜릿 카우보이 쿠키,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[5650003319]_20150723022427578.jpg
단호박&백년초 라이스 볼 틴 세트,https://image.istarbucks.co.kr/upload/store/skuimg/2019/09/[9300000002407]_20190927152159186.jpg
먹물치즈 라이스 비스코티,https://image.istarbucks.co.kr/upload/store/skuimg/2019/03/[9300000001999]_20190320162347817.jpg
버터 가득 라이스 쿠키,https://image.istarbucks.co.kr/upload/store/skuimg/2018/10/[9300000001893]_20181030153714185.jpg
오도독 건강한 넛&블루베리,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[5650003312]_20150723023453318.jpg
우리 미 감자팝,https://image.istarbucks.co.kr/upload/store/skuimg/2016/10/[9300000000444]_20161014130607008.jpg
청크 초콜릿 쿠키 틴 세트,https://image.istarbucks.co.kr/upload/store/skuimg/2020/01/[9300000002618]_20200116161051474.jpg
탐라 비스코티,https://image.istarbucks.co.kr/upload/store/skuimg/2017/09/[9300000001198]_20170921154305151.jpg
현무암 러스크,https://image.istarbucks.co.kr/upload/store/skuimg/2017/09/[9300000001199]_20170921154415264.jpg
화이트 초콜릿 카우보이 쿠키,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[5650003320]_20150723022640144.jpg
다크 초콜릿 마카롱,https://image.istarbucks.co.kr/upload/store/skuimg/2019/01/[9300000001924]_20190114110705823.jpg
바닐라 마카롱,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[5110008078]_20150722210718416.jpg
블루베리 마카롱,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[5110008075]_20150722211058139.jpg
스트로베리 마카롱,https://image.istarbucks.co.kr/upload/store/skuimg/2018/02/[9300000001318]_20180207163707876.jpg
20 W-day 캔디 하트 백,https://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9300000002318]_20200225152129178.jpg
New 한 입에 쏙 고구마,https://image.istarbucks.co.kr/upload/store/skuimg/2019/06/[9300000002132]_20190619144821795.jpg
더블 치즈 베이글 칩,https://image.istarbucks.co.kr/upload/store/skuimg/2020/01/[9300000002517]_20200129141414318.jpg
라이스 칩(블루베리 잼),https://image.istarbucks.co.kr/upload/store/skuimg/2019/01/[9300000001894]_20190114110400588.jpg
베어리스타 오가닉 젤리,https://image.istarbucks.co.kr/upload/store/skuimg/2019/11/[9300000002410]_20191107104122142.jpg
스타벅스 찹쌀말랑,https://image.istarbucks.co.kr/upload/store/skuimg/2018/08/[9300000001391]_20180809163723366.jpg
씨프렌즈 캔디,https://image.istarbucks.co.kr/upload/store/skuimg/2018/07/[9300000001058]_20180710125626733.jpg
아몬드 토피넛 캔디,https://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9300000002621]_20200228105751583.jpg
